total_area,kitchen_area,rooms,floor,floors_total,ceiling_height,house_year_clean,renovation_ord,district_Алатауский р-н,district_Алмалинский р-н,district_Ауэзовский р-н,district_Бостандыкский р-н,district_Жетысуский р-н,district_Медеуский р-н,district_Наурызбайский р-н,district_Турксибский р-н,dist_to_metro_km,schools_count,universities_count,malls_count,parks_count,kindergarten_density,has_complex,balcony_count,parking_level,price_clean
39.0,8.0,1.0,7.0,9.0,2.8,1979,2,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,0,0,0,34000000
94.0,11.0,3.0,12.0,14.0,3.0,2015,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,2,2,105000000
118.6,11.0,3.0,5.0,7.0,3.8,2017,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,2,157145000
39.5,11.0,2.0,2.0,12.0,2.74,2024,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,0,45500000
112.8,11.0,3.0,4.0,9.0,2.85,2025,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,1,0,0,78960000
43.16,11.0,1.0,4.0,9.0,2.7,2026,-1,False,False,False,False,True,False,False,False,4.9878276096819105,38.0,0.0,12.0,15.0,14.0,1,0,0,43203160
176.5,30.0,4.0,8.0,10.0,2.8,2010,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,0,0,0,170000000
76.0,12.0,4.0,5.0,5.0,3.0,1976,1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,2,0,55000000
88.4,9.3,4.0,7.0,9.0,2.8,1990,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,0,0,0,86000000
82.3,12.26,2.0,4.0,7.0,3.8,2017,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,2,2,96645000
46.0,11.0,2.0,3.0,13.0,3.0,2025,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,1,0,2,36500000
43.31,11.0,3.0,9.0,10.0,2.8,2025,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,1,30500000
41.5,8.0,1.0,2.0,5.0,2.8,1988,3,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,0,1,1,33990000
45.2,6.0,2.0,3.0,3.0,2.7,1964,0,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,0,1,0,23000000
44.0,14.0,1.0,9.0,9.0,2.8,2005,2,False,False,False,False,True,False,False,False,4.9878276096819105,38.0,0.0,12.0,15.0,14.0,1,1,0,30000000
62.0,11.0,2.0,9.0,9.0,2.7,2024,3,False,False,False,False,False,False,True,False,14.931964856764512,6.0,0.0,0.0,1.0,6.0,1,1,2,40000000
35.84,11.0,1.0,3.0,8.0,2.7,2025,-1,False,False,False,False,True,False,False,False,4.9878276096819105,38.0,0.0,12.0,15.0,14.0,1,0,2,16971276
196.1,11.0,4.0,4.0,9.0,3.4,2015,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,2,2,320000000
241.2,11.0,4.0,4.0,9.0,3.5,2018,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,169892114
81.75,11.0,2.0,4.0,9.0,3.0,2024,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,0,0,114450000
276.5,11.0,6.0,4.0,9.0,3.3,2024,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,424427500
86.92,11.0,3.0,4.0,9.0,2.85,2025,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,36941000
45.1,15.1,1.0,11.0,12.0,2.75,2022,3,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,1,2,27700000
38.0,8.0,1.0,5.0,12.0,3.0,2026,1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,0,0,35800000
142.0,11.0,3.0,5.0,12.0,3.0,2018,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,1,2,125000000
128.0,11.0,4.0,4.0,9.0,3.0,2018,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,0,2,180000000
29.89,11.0,1.0,4.0,9.0,2.7,2025,-1,False,False,False,False,False,False,False,False,14.931964856764512,0.0,0.0,0.0,0.0,15.306989492919142,1,0,0,13898850
28.38,11.0,1.0,4.0,9.0,2.7,2026,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,0,0,23839200
32.0,6.0,1.0,3.0,3.0,2.8,1963,3,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,0,1,1,30000000
138.0,11.0,4.0,4.0,9.0,3.3,2024,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,184920000
56.4,11.0,1.0,4.0,9.0,3.0,2026,-1,False,False,False,False,False,False,True,False,14.931964856764512,6.0,0.0,0.0,1.0,6.0,1,0,0,50196000
81.48,11.0,3.0,4.0,9.0,2.85,2025,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,35443800
200.0,11.0,4.0,3.0,3.0,3.15,2023,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,1,2,300000000
52.5,10.6,2.0,3.0,3.0,2.8,1986,-1,False,False,False,False,True,False,False,False,4.9878276096819105,38.0,0.0,12.0,15.0,14.0,0,1,1,29000000
54.0,11.0,2.0,3.0,3.0,3.2,2024,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,2,44500000
55.0,6.0,3.0,1.0,4.0,2.77,1971,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,0,0,0,54000000
70.0,11.0,2.0,4.0,9.0,2.8,1973,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,0,0,0,50000000
28.0,10.0,1.0,1.0,12.0,2.7,2024,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,0,2,22600000
80.0,25.0,3.0,6.0,22.0,3.0,2024,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,2,71000000
83.98,11.0,3.0,4.0,9.0,3.0,2026,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,0,0,65084500
126.86,11.0,4.0,4.0,9.0,3.0,2026,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,110875640
123.78,11.0,4.0,4.0,9.0,3.0,2026,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,80704560
63.07,11.0,2.0,4.0,9.0,2.7,2025,-1,False,False,False,False,True,False,False,False,4.9878276096819105,38.0,0.0,12.0,15.0,14.0,1,0,0,39103400
40.6,11.0,1.0,4.0,9.0,2.7,2023,-1,False,False,False,False,False,False,False,False,14.931964856764512,0.0,0.0,0.0,0.0,15.306989492919142,1,0,0,19000000
57.5,9.0,3.0,1.0,4.0,2.8,1960,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,0,0,1,38499999
100.0,11.0,3.0,8.0,25.0,2.8,2014,2,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,2,0,85000000
75.0,12.0,3.0,1.0,5.0,2.8,1987,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,0,2,1,60900000
42.0,11.0,2.0,3.0,4.0,2.67,1962,0,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,0,1,2,27000000
100.0,10.0,4.0,5.0,9.0,2.8,1987,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,0,1,0,85000000
59.0,6.0,3.0,4.0,4.0,2.5,1967,2,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,1,1,38000000
58.0,6.0,3.0,3.0,5.0,2.7,1968,-1,False,False,False,False,True,False,False,False,4.9878276096819105,38.0,0.0,12.0,15.0,14.0,0,1,0,40000000
36.0,9.0,1.0,4.0,9.0,2.69,2020,-1,False,False,False,False,False,False,True,False,14.931964856764512,6.0,0.0,0.0,1.0,6.0,1,0,2,24000000
37.82,11.0,1.0,4.0,9.0,3.0,2026,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,32525200
47.4,11.0,1.0,4.0,9.0,3.0,2027,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,0,0,26070000
212.5,11.0,3.0,4.0,9.0,3.5,2018,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,151913063
47.3,11.0,1.0,4.0,9.0,2.7,2026,-1,False,False,False,False,True,False,False,False,4.9878276096819105,38.0,0.0,12.0,15.0,14.0,1,0,0,42380800
276.5,11.0,7.0,4.0,9.0,3.3,2024,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,424427500
43.0,11.0,2.0,3.0,4.0,2.6,1975,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,1,0,32900000
